v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,target
-1.79796,-1.75901,-2.14257,-0.01878,-0.58601,-3.08224,-1.71369,1.41805,2.29783,1.11745,-3.43483,1.94926,0
-2.78612,-1.60622,-4.05247,3.33814,1.44255,-3.95343,-3.32328,0.71019,2.31973,0.57596,-4.22278,0.51171,0
-1.31957,2.61125,-0.99663,0.34752,0.85253,4.22652,0.84765,0.8853,-1.0146,1.03488,-0.84593,2.64307,1
-3.26219,-2.1151,0.68081,-0.4929,-2.45122,-2.37668,-0.00338,3.95559,1.42793,1.6871,-1.35533,2.82004,0
5.26181,1.85527,-2.29242,-0.86763,0.11625,-2.17675,-1.72692,-2.34726,1.98107,-4.58177,-2.26649,-3.33875,1
-4.78662,-2.11397,1.55201,2.32739,-1.44218,-3.03176,-1.0749,2.24691,-0.31244,0.93541,0.75045,0.05439,0
-5.01179,-5.23196,4.44476,-1.51257,-3.19021,-3.67057,0.37446,1.59452,-0.69732,3.82456,2.82445,1.49747,0
-3.36009,-2.09603,1.6447,1.34298,-0.90459,-2.88413,-1.34207,-0.30831,-0.80543,0.7228,1.39328,-1.0609,0
2.68226,-0.7538,1.32513,0.63472,0.81947,1.05077,2.52891,1.56874,0.00822,-0.35864,2.41961,-1.2772,0
-2.85398,-3.02399,0.6875,-1.02604,-1.93079,-2.48309,0.08721,2.91017,1.37091,2.53395,-1.00354,2.77478,0
-4.45398,-1.31571,2.39536,0.5649,-3.13733,-2.95817,-0.87175,2.62724,-0.24343,0.20251,0.57365,0.5492,0
-4.71185,-1.62886,2.59605,2.07002,-0.7242,-0.96748,-0.30385,0.68395,-1.95943,1.60606,2.63163,-0.26555,0
3.33957,-2.11843,2.88945,1.2321,-1.30126,-2.52598,2.68466,4.43025,1.40142,-2.50313,3.03133,-3.10105,0
-7.59259,-1.73777,3.8768,2.10486,-3.43221,-3.7017,-1.87872,1.71353,-1.96762,0.62689,2.26217,-0.41801,0
