v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,target
-1.39917,0.96108,-0.36145,0.26092,2.78953,-1.55046,-0.79886,0.24304,1.51733,-0.03357,-1.51127,-0.97444,-0.01934,0
-2.48564,1.24529,-0.39431,1.06648,1.71957,-0.60296,-2.35698,-2.31878,0.95555,-2.0042,-0.75294,-3.6468,-0.55923,0
-0.57025,0.65495,-0.73706,0.22444,-0.44094,-0.42596,0.44267,-1.74196,-0.06599,-0.36783,0.93065,-0.72392,0.37139,0
2.10165,1.46236,-0.25678,2.58908,-3.40158,2.43561,0.74701,-0.65229,-0.45497,-1.57951,2.07367,1.86435,-0.37664,1
3.01588,-2.50913,-2.01442,2.10296,-3.05465,5.38227,0.46846,1.57586,3.02176,-0.86271,-1.14418,-0.89712,0.61823,1
-0.73831,0.67096,0.61655,-1.15484,1.45557,-1.50019,0.40381,-0.18742,-0.34318,0.57944,0.29983,0.91521,-0.33518,0
2.66368,-3.61037,1.24059,0.03011,-0.83434,3.72706,-1.44738,4.98941,0.78005,0.5153,-2.92222,0.61307,1.97265,1
1.42163,-1.55186,1.96536,-1.40314,1.93272,1.73267,-0.46079,3.99666,1.20406,0.805,-2.02841,2.44654,-0.51383,1
2.71945,3.14415,-1.06406,4.16647,-4.07588,0.93438,1.81325,-0.29011,-0.88982,-1.06002,2.65568,3.44026,-0.66408,1
-3.26368,0.41199,-0.99257,-2.65132,2.79221,-0.18887,0.51581,-5.13521,2.36476,-1.21477,1.17669,-3.26214,-1.16717,0
-3.24729,1.79754,0.62324,0.10746,3.94643,-2.17622,-2.70618,-1.41144,0.85913,-1.3929,-1.43607,-2.75851,0.05751,0
-0.6098,0.56637,-0.83628,0.39042,1.99431,-1.32895,0.01514,0.78843,1.55195,0.53775,-1.40073,-0.34205,-0.75333,0
-2.3338,2.54379,0.36853,-1.2341,5.19189,-3.44197,0.23388,-0.27634,1.7085,0.55739,-0.7852,0.93341,-1.14445,0
2.62124,-2.12177,-1.94707,3.1274,-1.29092,4.42541,-0.88788,3.40752,3.83795,-0.75731,-3.21223,-1.37146,-0.45657,1
-1.45274,-0.83793,-0.39601,-1.75385,2.28607,0.0964,-0.09873,-1.02883,1.90638,-0.00832,-0.80889,-1.81484,0.28137,0
-0.69514,0.34969,-4.03655,2.42901,-3.85265,-5.74515,1.66021,-1.55139,-3.49274,2.63145,0.82923,-2.66845,-0.3944,1
-1.63701,0.52788,-0.20908,-1.51105,2.86527,0.16264,0.20105,-1.8264,2.40214,-0.67682,-0.07538,-0.97638,0.47283,0
-1.45822,-0.42707,-1.34898,-1.42363,2.18817,-1.46297,0.83483,-0.89943,1.74211,0.95553,-0.76387,-1.51328,0.67742,0
0.2394,-0.62686,-0.82129,1.38069,-3.72652,2.95422,-0.72527,-3.09879,-0.66447,-2.28721,1.72972,-2.75616,-0.49032,1
3.40256,-0.94125,-2.93531,4.23622,-3.8492,4.36414,0.73155,1.71255,2.81174,-0.96425,-0.94264,-0.39616,-0.39377,1
0.70608,2.27746,0.28691,2.84729,2.34166,-0.56157,-1.19181,3.3673,1.89892,-0.39766,-2.34857,1.90847,0.15112,0
-0.76355,-1.07044,5.2944,-2.87453,1.91186,0.68926,-3.39508,1.78087,-2.96553,-0.72851,-0.57194,1.17654,-1.14802,1
-0.7181,-1.15337,-1.36178,2.02857,-2.42831,-1.94306,-1.88894,-0.02209,-2.44479,0.38884,-1.15137,-3.89666,-0.13255,1
0.91779,1.72184,-1.6724,3.4881,-2.58977,-1.55395,0.40581,0.21348,-1.27322,0.11704,0.4972,0.28598,-0.53454,1
2.07156,0.51346,1.59269,3.14584,-0.5573,-0.73098,-2.20845,5.60982,-1.73977,0.5896,-2.54639,2.43106,1.38396,0
-1.20004,2.16938,-0.24346,1.42229,3.27716,-0.87654,-1.19445,0.36715,2.4611,-1.00993,-1.62439,-0.43836,0.97709,0
-0.35726,0.17378,0.86921,-2.22177,1.17886,-0.31622,1.21338,-0.73916,-0.02674,0.5107,1.10818,1.57041,-0.40296,0
1.85505,-1.91675,-0.04979,1.66655,-2.24525,3.79632,-1.38986,1.67937,0.73974,-1.14964,-1.21684,-1.03573,1.8736,1
-1.60699,-1.02619,-0.96734,-1.31014,0.32767,1.96286,-0.25666,-3.63817,1.82028,-1.56876,0.62105,-3.55955,-0.62932,0
-0.47673,-1.95425,-1.29384,0.34685,-2.32605,-2.52477,-0.507,0.22412,-2.81693,1.72867,-0.69252,-2.81801,-3.12112,1
-2.90538,2.40499,-0.10467,-1.04544,4.57603,-2.33661,-0.20397,-2.16323,2.11841,-0.61323,-0.24316,-0.85778,-0.44305,0
-1.33582,-1.95819,-3.16531,2.06084,-1.88441,-2.5586,-1.51846,-0.33437,-1.01368,1.01877,-2.20001,-5.90442,0.49714,0
-0.19827,2.94708,-2.11844,2.65546,-1.59688,-1.0781,1.30911,-2.8048,0.13465,-0.99566,2.03553,-0.09769,-0.36128,0
0.9032,0.13847,-0.63525,2.20377,-3.70521,1.9801,-0.48974,-1.59815,-1.15019,-1.6609,1.445,-1.16167,1.5391,1
0.10357,4.17286,-0.70246,4.19984,1.06405,-6.46421,-0.20436,3.51868,-1.95944,1.93252,-1.507,2.76313,-0.49986,0
-0.83435,-6.38316,-0.94184,-6.03435,-4.35412,12.82934,1.11057,-10.9237,4.08877,-5.46934,5.08495,-7.48296,-0.18386,0
3.06293,1.97315,-0.06424,5.04985,-3.18663,-3.16762,-0.20135,5.44155,-3.62956,1.89093,-1.03842,3.95403,0.89058,0
0.83382,-2.85262,-1.27477,-0.06121,-1.16144,5.16325,-0.4288,-0.74831,3.24053,-1.59914,-0.88754,-2.96688,0.16007,1
-0.25015,-1.64942,-1.81921,0.00507,-3.78677,-0.54579,0.73324,-2.53621,-2.28004,0.54002,1.51733,-2.85112,-0.69037,1
-3.89375,1.46429,0.91059,-3.49179,5.28846,-0.04175,-0.44974,-4.66669,2.88818,-1.9638,0.86489,-1.99478,-0.10391,0
1.1184,-1.46495,3.00764,0.04774,2.53959,1.4278,-3.13773,5.80242,0.543,0.14999,-3.90313,1.44026,-0.8471,1
-0.33505,-2.0531,-1.6771,2.22142,-2.34295,1.37098,-2.43282,-0.45714,-0.01792,-1.12495,-1.6888,-5.13963,-1.07889,0
-0.29701,-3.21819,-0.09875,-1.05946,-0.8264,4.00179,-1.6512,-1.19061,1.40582,-1.54815,-0.864,-3.90707,1.95821,0
-1.89691,-1.20683,-1.16764,-2.173,1.471,0.72275,0.37977,-3.04012,2.1139,-0.47145,0.13864,-3.1404,-1.90232,0
-1.61245,0.65837,0.391,0.39188,2.59365,-0.6982,-2.05417,0.10409,1.1169,-0.89006,-1.70253,-1.78749,-1.05144,1
1.06429,-1.21715,0.60958,1.55218,-2.93279,0.89835,-1.70344,1.26691,-2.38988,-0.35397,-0.38958,-0.87204,0.32034,1
1.85384,-3.15798,-1.93103,1.44819,-4.35411,6.02378,-0.34806,-1.28436,1.82863,-2.00902,0.09251,-3.43884,1.53123,1
-2.39011,0.389,-0.32865,2.02197,1.07822,-1.38506,-3.75977,-0.72717,-0.22802,-1.53812,-2.15865,-4.76755,2.30923,0
0.14725,0.25021,-1.61529,2.14391,-2.95951,-0.07611,-0.1017,-1.60428,-1.10677,-0.63597,0.8804,-1.89654,1.68325,1
0.97998,0.72508,-1.18658,2.86759,-3.95082,0.60968,-0.04692,-1.26714,-1.63842,-1.02097,1.45121,-0.76779,1.4282,1
-0.5108,-3.68103,-0.12638,-2.95625,0.19006,3.6699,-0.29359,-1.51327,1.98905,-0.62786,-0.46358,-3.11976,-0.45414,0
-1.86229,1.38496,0.34322,0.10674,2.96343,-0.2678,-1.52535,-1.09257,1.7719,-1.45656,-0.86748,-1.45906,0.2705,0
-2.07834,-0.043,-0.77968,-0.12897,1.81429,-1.13338,-1.28259,-1.31225,0.99905,-0.45263,-1.17411,-3.17188,-2.3659,0
-0.93767,-1.1029,-0.79289,-2.5836,-0.85753,5.40145,1.30367,-6.33821,2.95869,-3.05142,3.17378,-2.69001,-0.55146,0
-2.55803,0.1701,0.6515,-3.8102,4.05307,2.19778,0.37328,-4.22135,3.64943,-1.93767,1.08358,-1.46883,-0.82697,0
0.73965,0.66125,-2.82722,0.71019,-4.40142,0.04299,3.45633,-4.10236,-0.99865,0.11964,3.86342,-0.08952,1.44553,1
1.2629,-1.30083,1.20946,-0.52359,-0.78412,2.76618,-0.41958,1.06395,0.15392,-0.56606,-0.06943,0.83562,1.7271,1
0.46264,-1.54385,-1.512,2.33359,-1.80519,1.19268,-1.64744,0.88964,0.4665,-0.52669,-1.86849,-3.18315,1.71699,0
-1.25518,-1.17412,-0.24793,-0.68533,1.0112,1.10331,-1.31467,-1.13297,1.31139,-0.92992,-0.962,-2.96398,-0.2603,0
0.74623,3.35859,-1.70076,5.3817,-0.77449,-2.61696,-0.67226,1.91404,-0.18006,-0.17239,-1.15223,0.71713,-0.1204,0
