v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,target
1.92864,1.48414,0.86814,-0.67666,-0.28747,-1.45108,-0.73662,0.03134,-0.53872,1.30562,0.11557,-0.30478,127.68246535967634
0.22185,-0.5532,-0.29845,0.6587,-0.30132,1.49319,-0.43096,0.33835,-0.30827,1.25765,1.88584,-0.57726,50.022972498997895
-0.02183,0.13602,-0.37426,-1.29096,0.71912,1.95088,1.99309,-1.24197,-2.15377,-2.01455,-0.84625,0.29845,-24.36436896462348
0.86528,1.36937,1.27999,1.18124,-0.72465,-0.02175,0.4034,-0.28272,-0.4439,0.84051,0.03326,-0.9855,96.4154084691045
1.41333,-0.0292,-0.67228,1.76116,-1.12178,0.18002,0.48476,-0.76394,-0.16421,-2.42048,0.79727,-0.44033,157.40712881837126
-1.10642,-0.07144,1.99232,0.08053,0.0092,0.04912,-1.3243,-0.80973,0.62521,-0.69477,-0.36703,-1.14205,-106.98867336324822
0.73506,1.49695,-0.83138,0.99923,-0.93674,-0.21258,0.78692,-0.35296,-0.53693,2.05543,1.66731,0.60906,65.5089020582596
0.05301,0.47774,-0.12886,0.2023,-0.04841,-0.71326,-1.32308,-0.81705,0.3694,-0.29296,0.66228,0.17306,18.391179996578355
-1.89521,-0.8474,-0.85384,0.33029,-0.38553,0.95437,0.5873,-0.06537,-0.87419,0.7015,0.19641,-1.49094,-200.74241405646723
0.70823,-1.40061,-0.45884,-1.2874,-0.62004,-0.50802,0.52003,-0.75414,-0.21776,1.10694,1.651,0.43557,-48.90154001364792
1.24553,1.1861,0.48603,1.26569,-0.45042,-0.49801,-0.34433,1.13178,1.54038,-0.04245,-0.27244,-1.45412,160.81259164791052
-0.3934,-0.35344,-0.09419,0.2154,-0.23615,0.22395,1.59744,0.00174,0.48854,0.59409,-0.79527,-0.38195,-51.8357283622697
1.25417,2.08088,-0.71881,0.71951,-0.26595,0.06072,1.2374,0.67762,-1.19238,-0.1662,-1.58792,0.31571,135.0708564847624
-0.21166,-1.68892,-1.34458,0.57089,0.23297,-1.43172,-0.40433,-0.90736,0.47706,1.00716,-0.81667,-0.26482,28.270189709555993
-2.10602,-0.56574,1.50236,-0.71269,-0.33153,-0.06502,0.16152,-2.12301,0.8114,-1.09376,0.81721,0.74028,-276.0557155346984
-2.1372,-1.45353,-0.22341,-0.55877,0.19534,-0.72105,1.48947,1.08562,-0.5834,2.00211,-0.59741,-0.41341,-234.51726862802258
-0.38668,-1.20673,-0.0566,0.37977,2.06908,-1.31471,0.03876,1.10887,-0.41836,-1.08594,0.1485,0.71164,164.41241767778578
0.26291,-2.09796,0.40813,0.26632,-0.73427,2.22335,-0.56698,1.1722,-0.1742,-0.53738,1.50955,-0.71651,-10.036921668324677
-0.35631,-0.2369,-1.11374,-1.26131,-1.83381,0.94452,-0.55851,1.54094,0.13007,0.60267,-0.75773,-1.24622,-275.8318329673602
1.19323,0.5529,0.31922,-1.76296,-0.37505,0.59872,-0.76612,0.37225,-0.68031,-0.6885,1.77934,0.80185,-7.454434774003523
-1.64939,0.0451,0.04336,0.40291,1.24257,0.0809,0.49074,-0.62969,1.69572,0.61037,-1.08339,-0.12389,-40.31469222205741
-0.05171,0.36392,0.339,0.24377,0.93684,1.45617,0.72572,-0.21715,2.68137,-2.22704,-1.008,1.42678,83.68062180591522
-1.51701,-0.44834,-0.13228,0.86796,-0.91787,0.90011,0.85251,1.77595,-0.06007,-0.04128,-1.12781,2.10984,-185.58787127307733
0.88185,-0.30707,-0.83056,-0.28087,-1.25265,0.04143,-2.46673,1.20234,-0.81802,0.52214,-0.05699,1.37219,-37.360339880397305
-0.53949,-0.09973,0.13735,0.18631,-0.43766,-0.89202,-1.16761,-0.80395,-0.76751,0.61951,-1.82621,0.09364,-93.00668562389163
0.75051,0.0504,-1.57091,-1.2682,1.13742,1.88835,0.22857,-2.11918,0.77853,-0.61057,-1.62305,0.50293,84.76769325698145
-0.3004,0.86339,1.40094,0.44681,-1.25936,-0.76804,-2.62201,-1.17835,0.12071,0.34483,-0.98636,1.16308,-118.28722504970247
0.28354,1.75871,-1.69935,2.42907,-0.47681,-1.25285,0.19826,1.41236,0.06285,0.04302,-0.47326,-0.18939,131.82684793057712
-1.06596,1.65525,0.59222,-0.3116,-1.23811,0.32921,-0.38153,0.4298,-0.90259,0.45088,-1.14376,-0.92226,-240.08651837195038
0.21922,-1.09367,2.27422,0.53666,0.75012,0.80799,0.5075,-0.25647,0.34824,0.54143,-0.15534,1.54279,118.55545305549022
-0.74592,0.5594,-1.5619,0.44895,-1.53153,-0.52566,0.3118,-0.02173,0.69247,0.18592,-0.28273,0.19289,-180.98384184855746
0.42185,0.06683,0.02222,1.80285,0.55879,1.26189,-0.65303,0.84805,-2.5904,0.77608,-1.22002,0.21684,191.62322788555483
0.10901,1.2517,-0.051,-0.27904,0.15527,-0.30197,-0.48224,-0.68758,0.43866,-0.34599,0.3804,1.51306,10.226618765935935
-0.17449,0.36363,-0.56361,-0.80116,2.32535,-0.76561,0.71366,0.27189,-1.78916,-0.6565,0.29481,-1.59159,137.02520810672712
-0.12212,-0.22992,0.28758,0.58146,2.22604,1.05947,0.40066,-0.77614,0.6112,1.11251,0.56877,-0.8507,219.6979224852021
-1.30343,0.50756,1.95203,0.25482,0.18214,-0.41215,0.68037,-0.53013,0.30239,0.42661,1.64001,0.2625,-86.76897211487231
-0.56143,0.89007,-1.52049,0.37988,0.64105,0.68715,-0.07112,-0.58635,0.00279,0.37313,0.53118,0.01332,26.719207938419135
0.29945,-1.29606,0.50304,0.15458,-0.5486,-0.98097,-0.16683,-0.63615,-0.17349,0.4166,0.73971,0.17101,-2.4268458880870396
-0.05219,1.44414,1.61069,-0.43989,-0.7075,-0.9332,0.63795,0.87569,0.48973,-0.39915,1.07176,1.1687,-85.04922159274064
0.1238,-0.39582,1.23114,1.6226,0.07448,-0.34108,1.20971,0.44054,-1.15884,0.19092,-1.70535,0.36763,105.82735233992602
1.06206,-1.63592,-0.36217,-0.81158,-0.2041,0.23495,-0.1305,-0.14662,-0.40562,-0.64392,0.18914,-0.33853,40.66486577074301
1.25628,-2.13932,-0.64906,-0.6074,1.31437,0.44644,-1.44508,-0.20077,1.20701,0.50483,0.22454,-0.65766,203.9458946175111
-0.36708,-0.66512,0.96916,2.66778,0.926,-0.18703,1.33635,1.25832,-0.98905,0.68275,1.28838,-0.25211,215.06620741997497
-1.78883,-1.31257,0.03756,-0.89964,0.6814,-0.24034,-0.10398,-3.10977,0.8462,0.33588,-1.15137,-0.68745,-182.45185659138394
-0.36347,0.94231,-0.74556,0.62505,-0.55971,-0.81802,0.22279,1.21982,-1.00125,1.61369,0.00889,0.09421,-46.020216012041395
-1.40774,-0.34577,1.45129,-0.24063,1.75327,0.38776,0.73264,0.67227,0.61546,-0.21114,0.4837,1.49036,0.06692472153531558
0.70501,-1.30913,-1.67529,0.86294,-0.23194,1.06442,-0.82334,-0.12056,-0.76291,-0.40809,0.30286,-0.72908,105.25903702524155
-1.01226,2.64785,0.59426,0.45844,1.81922,0.62411,-1.87761,0.13788,-3.08732,0.22106,1.31666,-0.95531,93.7582477607582
2.2701,-0.11155,-0.06636,-1.4943,1.29581,-1.06123,0.11593,0.66767,0.03286,-0.77194,-0.50187,0.94263,244.30700143677694
-0.14004,1.24056,-1.04967,1.60035,-1.01418,-0.12223,0.24938,-0.44296,0.11367,0.60584,-0.19238,0.46554,-5.164336058660039
0.63541,-1.70776,-1.32102,-0.17393,0.5564,-1.39668,-1.18097,-0.62086,-0.57987,2.36943,0.30061,1.17452,103.40468134590698
1.67852,-2.11907,0.78509,-0.75682,0.59202,-0.69951,1.53125,-1.21683,-0.85267,1.71033,-0.26105,-0.70168,171.1260584298204
-0.69192,0.26117,0.04538,-0.76881,0.96488,-1.04331,-1.49479,0.85285,-0.51631,0.48586,0.14735,-1.61914,-31.21706917752153
0.57103,0.81911,0.64541,-1.29958,-0.06903,-0.88819,1.50831,0.0093,-0.12588,0.70599,-1.05546,1.25549,-35.37302534592271
1.04203,1.5797,-1.33465,-0.7166,-0.55052,0.79404,-0.87672,0.35376,-0.27654,0.36238,-0.64034,2.11337,8.603232636099941
-1.62129,-0.1963,0.54509,-2.0383,1.22977,-0.78416,0.02837,1.18413,-1.77024,0.20697,0.72896,-1.44549,-174.17780051007801
0.33384,-0.19308,0.58933,-0.29397,0.80827,0.16272,-1.27383,0.50978,1.78437,0.62492,-0.43594,-0.13949,82.52362336359141
-0.02569,0.70423,0.01456,0.16398,-0.20988,-0.22862,0.08104,0.20717,-1.2899,-0.73436,-0.51725,-2.74738,-13.933895894122204
0.60799,0.08016,-0.60408,0.02564,-0.4443,-1.47616,0.06155,-1.01042,0.57443,-0.02838,1.32942,-0.00847,33.55523409367842
1.63954,0.5591,0.73764,0.10837,0.66606,1.07399,0.94619,0.51036,-1.29171,-0.0692,-1.27794,1.19862,218.9274384144475
-0.27451,0.60367,-0.45392,0.06794,0.51459,-0.21749,0.76414,-0.0284,0.38805,-0.22502,-0.17325,-0.76939,20.197112773636263
0.33951,-0.20293,-0.01685,-1.50188,0.73405,0.39559,-0.4739,-0.82937,-0.45755,-0.41373,-0.05506,0.1288,5.947013726668007
0.32978,0.64071,-1.19476,-1.59584,-0.44371,1.0463,1.20914,1.45075,0.53017,0.22357,-2.02151,-0.16436,-116.54208512402461
1.57714,0.62952,0.68392,-0.6366,0.16998,-1.28201,-0.77177,-2.04484,-0.27125,-1.24739,0.90206,-0.12279,140.07929658185392
0.08119,0.00051,-0.08097,0.89598,0.93279,0.36576,1.6401,-1.02026,1.19246,-2.07477,1.07141,-0.529,151.18424242425655
3.02224,0.07719,0.25246,-1.16154,-0.12147,0.9725,0.90795,0.6007,-0.2236,-0.35765,0.83838,-0.7776,226.72854955612576
-0.97711,0.00988,-0.61193,1.82743,0.24547,0.87876,-0.07505,-0.22694,-1.07773,-1.0107,-0.14911,0.32958,34.164998924259336
0.40214,-0.76842,0.74972,-0.05567,-1.32096,0.24418,-1.35747,1.82689,-1.31144,1.6942,-0.50889,0.80839,-80.55780684448575
-0.89689,0.23505,0.91618,-1.1656,-0.02277,-0.56,0.08794,0.65084,0.28862,-1.69142,-0.00545,0.25014,-162.2143560144993
-1.87188,0.4223,0.07457,1.0157,0.06359,0.75117,-2.20055,1.63414,-0.40208,0.64496,-0.80699,-0.37059,-124.92032646292236
1.05305,1.35689,-0.21248,-1.25212,1.03551,-0.1875,1.67715,0.79561,0.0172,0.76246,-0.89462,0.29333,112.25775444318941
0.9895,-0.97567,0.63457,0.88516,0.19379,0.0428,0.64963,0.46836,0.8874,0.24606,-0.47871,-0.29242,166.26779823852968
-0.1159,-1.83585,-1.80014,-0.67112,-0.465,-1.29669,0.31547,-1.61035,1.29349,-0.50642,0.40368,1.70683,-89.3622092569947
0.88053,-1.72176,0.31936,0.10662,-1.15111,-0.954,-0.12427,-0.95788,0.40336,-2.4763,-0.96315,-0.82168,-11.666369603360897
0.73296,-1.35309,0.06226,-0.54421,2.14528,-0.49244,0.89572,-0.19472,-0.98308,0.13657,-1.30826,0.1762,216.17094580961611
-0.7726,0.04863,-1.68625,-0.21242,0.64878,0.79613,-0.21125,0.05197,-1.67599,0.77763,-0.28047,1.55884,-35.69195874493112
-1.92043,0.07867,0.27343,-0.07736,-1.7421,1.73342,0.08861,-1.86199,0.1593,0.47963,-0.61179,-1.73476,-350.8738797218851
0.54721,0.44757,-0.82852,-0.13364,-0.68039,-0.24125,-0.72346,0.5513,-1.19189,1.0723,0.47323,0.70429,-8.512160094702915
